3521,12482,-1379,-4401,3831,-2257
-558,12152,-2637,-6445,4638,-2703
-2386,11046,-1118,-8332,5155,-3049
-2154,9459,5849,-7730,10120,-2324
-397,12777,5305,-8125,2213,-3332
-1537,13399,-15,-7445,-11772,-3706
2776,10333,-1732,-6891,-15077,-4247
3258,9891,952,-5651,-5313,-4529
2552,8364,2305,-4297,-601,-5008
2566,6228,2584,-2573,46,-4930
2448,5782,1973,-2337,3096,-4376
1597,5357,1224,-3193,5732,-3373
512,4452,974,-3337,7203,-2816
337,3801,1133,-3173,7952,-2230
-536,3043,926,-2407,7777,-1795
-1696,2974,541,-1124,6468,-1091
-2246,3062,3,477,4883,-301
-1804,2674,-476,2240,2405,547
-532,2813,-1102,4252,356,1593
653,2946,-3000,6311,12,2506
3447,4957,-8071,8161,458,3247
9646,16573,-8563,7797,1284,3025
21309,20671,-2611,26,1253,-1734
6270,11807,-2572,-2765,4716,-2671
-2675,6907,-3963,-2497,5682,-2386
-6948,1306,-5094,-148,4446,-2467
-2993,-257,-3927,1926,1021,-426
478,6641,1500,7641,-6264,2547
3820,15081,8235,8616,-10162,2803
6616,25225,-8273,364,-3634,-1365
5089,4998,5173,-5111,-3649,-341
-4976,1413,4896,2820,-7223,889
-4660,2939,1590,4101,-2150,3886
-597,9112,4340,5556,-3262,3862
4255,11865,3022,5445,-9807,478
5781,7835,2828,4467,-7438,-55
2983,7464,1956,2107,22,2520
-1861,6615,-54,1721,2010,2534
355,5466,1131,1899,-690,2467
3065,6916,2390,2607,-1151,2562
3496,7489,1731,2693,-862,2209
2783,6290,2172,2496,-895,1769
2408,6644,1335,2493,-1616,636
1406,7389,91,2465,-3163,587
2313,7316,-87,1388,-3580,1240
3524,6601,585,731,-4207,1257
4054,6838,963,1021,-3037,1491
3463,6947,864,1782,-1790,1635
2431,6728,622,1803,-1930,1917
2183,6353,454,1392,-2708,2087
2553,6900,834,964,-2460,1952
3089,7306,1396,593,-1806,1651
3667,6653,1728,260,-608,1455
3321,7390,1268,723,232,1052
2796,9349,163,844,786,429
4211,9776,-1061,-345,637,472
6934,8262,-635,-2552,723,582
7395,8982,-336,-1800,1364,-473
4562,10670,-692,-2584,2091,-1551
2509,12294,-1398,-4721,4247,-2291
-294,12080,-2285,-6747,5160,-2867
-956,11188,-807,-8098,7112,-3069
-1955,11340,4872,-7122,10589,-2394
-709,13162,4245,-8398,61,-3455
-1011,13297,1241,-7043,-9087,-3630
2749,9764,-1300,-5934,-11497,-4123
3252,9573,-268,-5149,-5605,-4203
2913,8523,1852,-3433,-817,-4854
2230,7206,2144,-2489,633,-4913
1130,5142,1627,-2817,6509,-3132
-15,4296,1785,-2992,8346,-1891
-724,3495,1166,-3224,9048,-1281
-945,3411,759,-2312,8709,-994
-1799,2992,561,-1197,7203,-1040
-2479,2679,-250,512,5196,-604
-2578,1991,-443,2257,2280,242
-1351,2286,-895,4011,-310,1314
119,2827,-2410,6277,-1163,2193
2573,4496,-7413,7796,173,2477
5838,12826,-8844,9309,1531,1991
22312,24846,-6550,1350,-1731,-3475
9749,12634,-2052,-2004,3872,-3530
208,7907,-1770,-2077,5239,-1756
-5516,3826,-5209,-1457,5282,-1610
-3456,2689,-5697,733,-32,-594
1778,8739,-2665,4768,-4524,1729
8074,14619,5420,3585,-7335,-493
728,11902,-2824,-1611,-4520,-1094
-3030,2082,3595,-1397,-6043,421
-5083,1284,3186,4666,-7654,1705
-1162,6672,4568,5439,-8741,3772
5401,13860,3624,4671,-10111,2039
6700,10151,2536,3963,-8873,20
4005,6014,3133,3621,-57,910
-1778,8556,460,1732,2303,3301
-1769,6148,-203,2529,-664,2152
767,5904,1702,3607,-3725,1737
2995,7745,2284,3229,-4107,1958
4341,7875,3098,2977,-1284,2128
3260,5959,1530,2734,-299,2326
2281,6502,582,2333,-933,1439
1548,6728,734,2406,-2267,898
2207,6874,991,1585,-3418,1470
3507,6830,663,916,-4349,1334
3792,6531,831,475,-4504,1121
3227,6848,1102,1042,-3185,1284
2442,7139,1058,1749,-2529,1573
1667,6933,202,2067,-2971,1791
1624,6457,333,834,-3387,1896
2533,7017,1301,68,-2720,1935
4386,7132,2277,30,-1449,2060
5984,7685,1703,483,-809,1117
4804,8009,995,841,-376,325
3904,9722,-1268,191,191,-171
5359,8980,-966,-2208,1341,129
6054,8913,-327,-2671,1271,-435
4015,10205,-950,-2745,129,-1712
3826,11643,-1840,-5476,2179,-2436
1113,13127,-2978,-6855,4360,-3423
-1450,11584,-892,-8978,6919,-3610
-2763,11323,4386,-7376,12648,-2511
-2490,14205,4940,-8502,-782,-3842
-2304,13139,-58,-7420,-13687,-3635
2412,10425,-1763,-6679,-17006,-4889
4315,9703,1810,-4664,-4450,-4665
3433,8140,2039,-4198,-132,-5723
2089,6093,1829,-3202,135,-5326
2131,5385,1480,-2799,3395,-3963
1120,4943,941,-3537,5837,-2654
68,4123,1374,-3816,8075,-1606
-178,3701,1184,-3674,9679,-1226
-1079,2591,657,-2576,8738,-1150
-1664,2441,267,-1082,7180,-864
-2214,2440,-137,763,4743,-190
-1721,1998,-664,2460,1749,770
-175,2358,-1518,4456,-299,1751
1171,2724,-3570,7841,596,2641
3263,6684,-9658,8639,1669,3012
11469,17605,-9510,7736,86,1262
17305,19507,-4160,1226,-1350,-1302
5869,11397,-2772,-1566,5161,-1411
-2354,8062,-2910,-2643,6819,-859
-6051,4678,-5038,-1781,5465,-1840
-2599,3828,-5075,1469,-628,-524
2060,8531,-1265,5423,-5637,1158
4806,12597,4051,4787,-8412,-286
2652,10414,-159,-2368,-5961,-1020
-3390,2801,4348,322,-6792,705
-2902,3027,2147,4081,-9266,1086
-970,9152,5113,4605,-7519,3597
5839,12203,3820,4330,-10405,1883
6028,8314,2469,4824,-9702,-238
3908,6418,2509,4007,-666,723
-1306,8548,996,2600,1743,2792
-1532,6507,80,2426,-672,1853
-170,6200,1051,3183,-3288,1623
2481,6926,1930,3068,-3793,1786
3549,7249,3248,2753,-1945,1717
3350,6091,1739,2392,-1735,2052
3160,6591,944,2143,-2454,1139
2214,6900,479,2147,-3354,776
2584,6713,1189,1929,-3953,880
3807,6787,712,1423,-5054,821
3679,6997,596,1394,-4784,719
3270,7277,1077,1299,-3284,1155
1918,6644,661,1486,-2116,1489
1480,6045,309,1282,-2978,1714
2274,6568,1068,561,-3405,2054
4577,7064,1946,92,-2180,1447
5150,7173,2113,140,-694,1131
4173,7928,715,687,-117,694
3325,10082,-826,95,418,269
4802,9220,-543,-2022,1611,742
5722,8937,-681,-1985,1545,-307
4161,9876,-614,-2625,141,-1063
4133,10708,-927,-4850,2691,-2079
2672,12827,-2106,-6379,4432,-2720
166,11206,-1577,-8409,5841,-3192
-1897,11238,3424,-7536,12516,-2569
-887,12129,5203,-8703,6256,-3274
-4152,15223,1758,-7050,-12548,-3323
1661,10632,-2413,-7139,-18527,-4657
3205,10044,996,-5673,-9626,-4619
3642,8040,3251,-4200,-1079,-5630
2767,6771,1476,-3313,744,-5300
2421,5624,1758,-2620,3209,-3975
1488,5102,981,-3356,6463,-2236
